policy,seed,success,collision,timeout,n_steps,total_reward,gcr
intention_rl+taga,60,0,1,0,16,-14.618,0.0
intention_rl+taga,61,1,0,0,69,41.035,0.0
intention_rl+taga,62,0,1,0,19,-15.761,0.0526
intention_rl+taga,63,1,0,0,60,36.359,0.0
intention_rl+taga,64,0,1,0,44,6.886,0.0
intention_rl+taga,65,0,1,0,40,-6.755,0.125
intention_rl+taga,66,1,0,0,57,45.815,0.0
intention_rl+taga,67,1,0,0,42,27.832,0.0
intention_rl+taga,68,1,0,0,97,46.745,0.0
intention_rl+taga,69,1,0,0,40,26.626,0.0
intention_rl+taga,70,1,0,0,56,30.914,0.0
intention_rl+taga,71,1,0,0,80,8.873,0.1375
intention_rl+taga,72,1,0,0,87,6.362,0.092
intention_rl+taga,73,0,0,1,194,32.311,0.0
intention_rl+taga,74,1,0,0,60,37.361,0.0
intention_rl+taga,75,0,1,0,19,-13.491,0.0
